user_id,full_name,email,country,signup_date,subscription_plan,industry,daily_active_minutes
1,Allison Hill,jillrhodes@miller.com,Djibouti,2025-06-03,Enterprise,Education,17
2,Kristina Baldwin,shaneramirez@gmail.com,Senegal,2026-01-22,Enterprise,Finance,130
3,Jay Ramirez,curtis61@abbott-munoz.com,Saint Lucia,2025-04-28,Free,Healthcare,57
4,Valerie Gray,barbara10@hotmail.com,Denmark,2025-12-28,Enterprise,E-commerce,284
5,Bobby Hall,oramirez@martin-kelly.com,Reunion,2026-05-04,Free,IT,221
6,Andrea Reid,stevennelson@watts.com,Denmark,2026-02-04,Free,Education,52
7,Ethan Adams,jason76@ellis.net,Martinique,2024-11-27,Free,Healthcare,263
8,Jessica Silva,wendytaylor@yahoo.com,Bermuda,2025-12-15,Enterprise,Education,292
9,Brian Burton,cruzcaitlin@yahoo.com,Malta,2024-11-18,Free,E-commerce,284
10,Shannon Smith,kayla51@graham-chavez.com,Macao,2025-12-19,Pro,Healthcare,234
11,Thomas Harrell,ericfarmer@hotmail.com,Zimbabwe,2026-01-01,Enterprise,Finance,8
12,Tamara George,rodriguezmichael@yahoo.com,Dominican Republic,2024-06-20,Free,E-commerce,221
13,Keith Miller,spenceamanda@gmail.com,Brunei Darussalam,2025-10-01,Pro,Finance,84
14,Joshua Baker,sarahcampos@hotmail.com,Cook Islands,2025-11-11,Free,Finance,57
15,Zachary Santos,omartinez@gmail.com,Guadeloupe,2024-05-23,Free,Marketing,54
16,Crystal Robinson,perezrebecca@jones-young.info,Croatia,2025-06-29,Pro,Finance,140
17,Timothy Duncan,kristenaguirre@gmail.com,Bhutan,2024-07-21,Free,E-commerce,240
18,Heather Jenkins,brownjessica@wright.net,Kiribati,2024-08-23,Enterprise,Education,198
19,Donald Wright,jmorton@williams.com,Bermuda,2026-04-26,Free,IT,155
20,Cynthia Russell,michellebarrera@gmail.com,Hong Kong,2024-05-08,Enterprise,IT,190
21,Mrs. Rachel Gibson,smoore@gmail.com,Azerbaijan,2025-07-30,Enterprise,Healthcare,40
22,Amy Edwards,hshaw@brown.com,Thailand,2024-09-28,Free,E-commerce,121
23,Barry Hensley,davidashley@hotmail.com,Nauru,2024-06-06,Pro,Education,124
24,Jennifer Silva,james53@yahoo.com,Indonesia,2024-08-16,Free,Marketing,147
25,Elizabeth Stewart,ellisyolanda@jones.net,Estonia,2024-08-17,Pro,E-commerce,191
26,Shirley Suarez,eric84@hotmail.com,Sri Lanka,2025-09-26,Free,Finance,186
27,Mary Spencer,josephpreston@tran.com,Costa Rica,2025-10-22,Free,E-commerce,141
28,Deborah Freeman,waltersmaria@smith.com,Central African Republic,2025-12-03,Enterprise,E-commerce,41
29,Michael Hoffman,landryhannah@gardner.org,Mexico,2024-08-30,Enterprise,E-commerce,92
30,Andrew Diaz,jason31@deleon-henson.biz,Nicaragua,2025-12-10,Enterprise,E-commerce,130
31,Timothy Hancock,vjohnson@patton-jenkins.com,Ethiopia,2024-09-07,Free,Marketing,199
32,Ashley Brennan,jamessellers@yahoo.com,Gambia,2026-02-03,Pro,E-commerce,290
33,Crystal Johnson,emurphy@bell-hicks.net,Greenland,2026-05-06,Free,E-commerce,171
34,Shawn Green,rodriguezryan@hotmail.com,Solomon Islands,2025-01-05,Free,Healthcare,21
35,William Wilson,bradley60@frost.com,Haiti,2025-04-06,Pro,Marketing,142
36,Matthew Rivera,cortezkevin@yahoo.com,Papua New Guinea,2025-03-20,Free,Healthcare,295
37,Michael Spencer,yortega@adkins.biz,Mayotte,2026-02-13,Enterprise,Finance,113
38,Dustin Jordan,rramos@gmail.com,Madagascar,2025-05-09,Enterprise,Marketing,207
39,Toni Fitzgerald,zachary95@cardenas.com,Czech Republic,2026-01-23,Enterprise,Marketing,78
40,Alexander Sanchez,gibsonolivia@hotmail.com,Congo,2025-11-15,Pro,Healthcare,131
41,Kathleen Sanchez,osbornejeffery@holmes.com,Korea,2024-08-18,Enterprise,IT,280
42,Mary Travis,usalazar@hotmail.com,Japan,2026-02-11,Pro,E-commerce,224
43,Jill Moore,pgreen@hotmail.com,Falkland Islands (Malvinas),2025-12-22,Enterprise,Marketing,190
44,Kari Allen,reevesjimmy@yahoo.com,Ghana,2026-03-31,Free,Healthcare,265
45,Brenda Hall,calebrussell@owens.biz,United Kingdom,2025-12-25,Pro,Education,29
46,Melissa Gates,wsmith@yahoo.com,Sao Tome and Principe,2025-03-05,Free,Healthcare,86
47,Tiffany Barnes,brobinson@johnson-rogers.biz,Saint Kitts and Nevis,2024-09-12,Enterprise,Marketing,37
48,Tamara Hooper,qvargas@miller.com,Tonga,2025-04-30,Pro,Marketing,244
49,David Murphy,matthew64@yahoo.com,El Salvador,2026-02-14,Enterprise,Finance,288
50,Alec Ryan,debraharrington@hotmail.com,Armenia,2025-12-13,Free,E-commerce,63
51,David Combs,davidcaldwell@gould.com,Chad,2025-08-20,Enterprise,IT,141
52,Nicole Wilson,daniel04@byrd.com,Belarus,2025-08-09,Enterprise,Finance,62
53,Lori Garcia,hoganashlee@gmail.com,Guatemala,2025-06-24,Pro,Marketing,85
54,Jacob Hunter,atkinsonlynn@gmail.com,Jersey,2025-02-12,Pro,Education,139
55,Sandra Zimmerman,jessicasheppard@yahoo.com,New Zealand,2026-01-24,Enterprise,Healthcare,264
56,Patricia Marshall,melissa14@yahoo.com,Ecuador,2025-12-10,Free,E-commerce,157
57,Leonard Gray,lrosales@lewis-salinas.com,Fiji,2026-03-21,Enterprise,IT,106
58,Sheryl Peters,allenrichard@chang.info,Kiribati,2026-01-12,Free,Finance,87
59,Edward Sullivan,elizabeth57@schmidt.com,Guinea,2025-11-03,Enterprise,IT,5
60,Eric Hall,david82@robinson.com,Saint Kitts and Nevis,2025-08-07,Enterprise,Finance,255
61,Kelly Campbell,kennethward@smith-ferguson.com,Aruba,2024-06-18,Free,Education,190
62,Melissa Martinez,salasaudrey@yahoo.com,Lesotho,2025-04-14,Pro,Healthcare,34
63,Vincent King,shortrichard@gmail.com,Montserrat,2025-09-07,Free,IT,45
64,Brittany Shepherd,mcknightdavid@yahoo.com,Netherlands,2025-08-13,Free,E-commerce,253
65,Courtney Mills,levans@yahoo.com,Gambia,2025-07-22,Free,IT,69
66,Lisa Singh,josephmiller@thompson.com,Afghanistan,2025-03-20,Free,E-commerce,248
67,Kirk Carter,jasmine71@hall.org,Panama,2026-01-21,Enterprise,Healthcare,140
68,Jessica Stephens,margaret10@sparks.org,Uruguay,2024-12-17,Enterprise,IT,221
69,John Torres,vincent77@gmail.com,Nepal,2024-06-06,Free,IT,107
70,Morgan Munoz,perezemily@matthews.com,Montserrat,2024-06-07,Enterprise,Finance,209
71,Casey Stone,howard96@hotmail.com,Suriname,2025-05-23,Enterprise,E-commerce,196
72,Julie Ortiz,hodgemark@hotmail.com,Lithuania,2024-12-16,Pro,IT,236
73,Jennifer Hodges,qmiller@wilson-barton.net,Sweden,2024-05-07,Free,Healthcare,120
74,Kimberly Gutierrez,cindy77@harris.com,Vanuatu,2024-12-16,Free,Finance,15
75,Michael Martinez,lancesmith@davis-gay.com,Kyrgyz Republic,2024-08-06,Enterprise,IT,122
76,Brittany Cantu,robert77@gmail.com,Korea,2025-07-09,Enterprise,Healthcare,8
77,Connor Greene,hillkristy@morgan-french.com,Swaziland,2024-05-08,Free,E-commerce,35
78,Edwin Matthews,seanwashington@yahoo.com,Mexico,2025-12-20,Free,Education,21
79,Jordan Morris,ashleyhall@williams-garner.biz,Hungary,2025-10-04,Pro,Education,268
80,Marissa Hernandez,waynelawrence@sawyer.com,Mali,2026-04-14,Free,Finance,253
81,Nathan Ortiz,harrisontanya@hanson-sanders.com,Timor-Leste,2025-01-17,Free,IT,72
82,Shannon James,cbrennan@hotmail.com,Bangladesh,2024-11-05,Enterprise,IT,300
83,Tammie Bright,wgood@padilla.com,United Kingdom,2024-05-29,Pro,Healthcare,247
84,Robert Carter,hthomas@yahoo.com,Monaco,2025-10-18,Pro,Healthcare,53
85,Carolyn Miller,tyleraguilar@gmail.com,Kyrgyz Republic,2025-09-14,Free,E-commerce,225
86,David Smith,erica21@yahoo.com,Western Sahara,2025-01-30,Pro,Marketing,215
87,Elizabeth Hayden DDS,james67@gmail.com,Dominica,2025-02-27,Pro,E-commerce,32
88,Laura Haney,spencedominique@yahoo.com,Algeria,2025-07-20,Enterprise,E-commerce,55
89,Paula Beltran,kimberly39@yahoo.com,Cyprus,2025-09-13,Free,Marketing,178
90,David Campos,bergerdebbie@kramer-johnson.com,Saint Martin,2024-08-17,Free,Healthcare,103
91,Edward Burgess,davidryan@schmidt-mcintyre.com,Equatorial Guinea,2026-04-16,Free,IT,234
92,Karen Drake,mcdonaldcharles@gmail.com,Tokelau,2025-10-14,Free,Marketing,98
93,Veronica Coffey,gibbsalexander@hotmail.com,British Virgin Islands,2025-04-25,Pro,Marketing,132
94,Paul Baker,daniel37@gmail.com,Nicaragua,2026-03-24,Free,Marketing,286
95,Erin Bishop,tblankenship@ortiz.com,Lithuania,2024-08-05,Free,Education,281
96,Stephen Taylor,ellen86@hotmail.com,Samoa,2025-11-22,Free,Education,126
97,Jason Garcia,rcrosby@gmail.com,Portugal,2025-02-18,Free,Marketing,253
98,Jeremy Young,pollardmichael@hotmail.com,Guinea-Bissau,2024-06-23,Pro,Healthcare,210
99,Colton Martinez,batesdarlene@hotmail.com,Angola,2024-06-15,Free,Healthcare,199
100,Dana Martinez,gallegosangela@robinson.com,Solomon Islands,2026-04-06,Free,Marketing,140
101,Destiny Riggs,lauren10@smith.org,Gibraltar,2024-05-19,Pro,Finance,221
102,Anthony Harmon,alvarezkimberly@wheeler.org,Aruba,2025-11-22,Enterprise,E-commerce,289
103,Sharon Boyd,browntimothy@yahoo.com,Japan,2025-10-21,Enterprise,E-commerce,254
104,Micheal Wallace,charlene12@weber-richards.com,Hong Kong,2025-08-14,Free,Healthcare,156
105,Jody Jacobs,farrelldebra@le.com,Isle of Man,2025-01-25,Free,Education,282
106,Jennifer Blair,qedwards@yahoo.com,Zimbabwe,2024-09-02,Free,E-commerce,165
107,Kara Davis,reynoldsjulie@cain-hawkins.org,Zimbabwe,2025-07-17,Free,Education,249
108,Meagan Jenkins,schmittcaroline@yahoo.com,Bosnia and Herzegovina,2025-07-29,Enterprise,IT,85
109,Brittney Olson,megan51@andrews-aguirre.net,Seychelles,2026-02-01,Free,IT,46
110,Megan Hawkins,whitejacqueline@yahoo.com,Uruguay,2025-01-25,Free,Education,39
111,Christopher Thomas,thomascynthia@gmail.com,Bermuda,2025-12-07,Enterprise,Healthcare,211
112,Jamie Chavez,larry59@miller.org,Australia,2025-10-12,Free,IT,131
113,Jeremy Coleman,wnelson@hotmail.com,Brazil,2025-01-30,Enterprise,IT,25
114,Douglas Gregory,brandon69@gmail.com,Albania,2024-10-12,Enterprise,Education,219
115,Daniel Taylor,mark07@hotmail.com,Jersey,2024-09-20,Enterprise,IT,294
116,Joseph Hall,sandersjudy@yahoo.com,Andorra,2025-04-29,Enterprise,Finance,138
117,Shannon Johnston,zroberts@gmail.com,Greece,2024-09-17,Free,E-commerce,165
118,Lisa Collier,kimdaniel@yahoo.com,Myanmar,2025-03-14,Free,Finance,207
119,Jennifer Collins,masonjackson@hotmail.com,Norfolk Island,2024-08-03,Free,E-commerce,158
120,Cheyenne Parsons,joelthomas@gmail.com,China,2025-08-17,Pro,Finance,42
121,Peter Jones,wwebster@hotmail.com,Kiribati,2025-10-18,Free,Marketing,293
122,Kristy Reid,edward17@yahoo.com,Niue,2024-12-28,Free,Education,280
123,Leslie Bell,steven00@decker-jones.com,New Zealand,2025-08-11,Free,IT,140
124,Julie Spencer,kstout@lopez.com,Korea,2024-07-26,Free,Finance,40
125,Sara Haas,benjaminzimmerman@warren-bishop.com,Holy See (Vatican City State),2026-04-19,Free,Finance,150
126,Jason Morgan,cameron18@hughes.org,Tunisia,2024-08-31,Free,Marketing,283
127,Kevin Thomas,tammy62@hotmail.com,Russian Federation,2026-05-05,Enterprise,Finance,275
128,Justin Schneider,elizabethcalderon@hotmail.com,Poland,2026-04-15,Free,E-commerce,288
129,Maria Henderson,coxhenry@gmail.com,Guam,2025-12-23,Pro,E-commerce,58
130,Mr. Chad Jones,stanleynancy@anderson.org,Sudan,2026-04-08,Free,Finance,64
131,Jeffrey Jenkins,wbishop@bowers.info,United Kingdom,2026-02-14,Free,E-commerce,288
132,Michael Hudson,xhammond@yahoo.com,Macao,2025-06-20,Free,Finance,149
133,Christopher Gonzalez,brett75@villa.com,Finland,2024-07-11,Enterprise,Healthcare,180
134,Denise Whitehead,odavis@wilkerson-arias.biz,Austria,2025-03-10,Free,E-commerce,140
135,Cynthia Vang,anthonygalvan@hotmail.com,Pakistan,2025-01-22,Enterprise,Marketing,133
136,Brenda Mitchell,katherineharrison@hotmail.com,Albania,2026-04-10,Free,Education,221
137,David Conley,parsonsjohn@gmail.com,Australia,2024-11-08,Pro,Education,6
138,Riley Bryant,bcarlson@robertson.biz,Afghanistan,2025-08-27,Pro,Healthcare,139
139,Kenneth Lopez,carlos88@hartman.info,Aruba,2025-09-12,Free,E-commerce,231
140,James Burgess,cooperjessica@hotmail.com,Bosnia and Herzegovina,2025-12-27,Enterprise,E-commerce,223
141,Nicole Anderson,lisa27@hotmail.com,Lesotho,2025-09-09,Enterprise,Education,62
142,Chad Baldwin,carterbradley@gmail.com,Turks and Caicos Islands,2024-06-08,Free,E-commerce,81
143,Eric Sanders,benjamin34@yahoo.com,Tokelau,2026-01-03,Enterprise,Education,194
144,Matthew Nelson,vpreston@yahoo.com,Ukraine,2025-03-03,Enterprise,IT,80
145,Cody Holt,laurie61@yahoo.com,Netherlands Antilles,2026-02-04,Pro,Healthcare,26
146,Edward Garcia,kirk96@gmail.com,Portugal,2025-04-16,Pro,Finance,25
